state_id,file,primary_mechanism,auxiliary,lane_width,ego_speed,n_interaction,V0_U0_t1,VL_U0_t1,V0_U0_t2,VL_U0_t2,V0_U0_t3,VL_U0_t3,V0_U0_t4,VL_U0_t4,V0_U0_t5,VL_U0_t5,V0_U0_t6,VL_U0_t6,V0_U0_t7,VL_U0_t7,V0_U0_t8,VL_U0_t8,V0_U0_t9,VL_U0_t9,V0_U0_t10,VL_U0_t10,V0_U0_t11,VL_U0_t11,V0_U0_t12,VL_U0_t12,V0_U0_t13,VL_U0_t13,V0_U0_t14,VL_U0_t14,V0_U0_t15,VL_U0_t15,V0_U0_t16,VL_U0_t16,V0_U1_t1,VL_U1_t1,V0_U1_t2,VL_U1_t2,V0_U1_t3,VL_U1_t3,V0_U1_t4,VL_U1_t4,V0_U1_t5,VL_U1_t5,V0_U1_t6,VL_U1_t6,V0_U1_t7,VL_U1_t7,V0_U1_t8,VL_U1_t8,V0_U1_t9,VL_U1_t9,V0_U1_t10,VL_U1_t10,V0_U1_t11,VL_U1_t11,V0_U1_t12,VL_U1_t12,V0_U1_t13,VL_U1_t13,V0_U1_t14,VL_U1_t14,V0_U1_t15,VL_U1_t15,V0_U1_t16,VL_U1_t16,V0_U2_t1,VL_U2_t1,V0_U2_t2,VL_U2_t2,V0_U2_t3,VL_U2_t3,V0_U2_t4,VL_U2_t4,V0_U2_t5,VL_U2_t5,V0_U2_t6,VL_U2_t6,V0_U2_t7,VL_U2_t7,V0_U2_t8,VL_U2_t8,V0_U2_t9,VL_U2_t9,V0_U2_t10,VL_U2_t10,V0_U2_t11,VL_U2_t11,V0_U2_t12,VL_U2_t12,V0_U2_t13,VL_U2_t13,V0_U2_t14,VL_U2_t14,V0_U2_t15,VL_U2_t15,V0_U2_t16,VL_U2_t16,V0_U3_t1,VL_U3_t1,V0_U3_t2,VL_U3_t2,V0_U3_t3,VL_U3_t3,V0_U3_t4,VL_U3_t4,V0_U3_t5,VL_U3_t5,V0_U3_t6,VL_U3_t6,V0_U3_t7,VL_U3_t7,V0_U3_t8,VL_U3_t8,V0_U3_t9,VL_U3_t9,V0_U3_t10,VL_U3_t10,V0_U3_t11,VL_U3_t11,V0_U3_t12,VL_U3_t12,V0_U3_t13,VL_U3_t13,V0_U3_t14,VL_U3_t14,V0_U3_t15,VL_U3_t15,V0_U3_t16,VL_U3_t16,V0_U4_t1,VL_U4_t1,V0_U4_t2,VL_U4_t2,V0_U4_t3,VL_U4_t3,V0_U4_t4,VL_U4_t4,V0_U4_t5,VL_U4_t5,V0_U4_t6,VL_U4_t6,V0_U4_t7,VL_U4_t7,V0_U4_t8,VL_U4_t8,V0_U4_t9,VL_U4_t9,V0_U4_t10,VL_U4_t10,V0_U4_t11,VL_U4_t11,V0_U4_t12,VL_U4_t12,V0_U4_t13,VL_U4_t13,V0_U4_t14,VL_U4_t14,V0_U4_t15,VL_U4_t15,V0_U4_t16,VL_U4_t16,V0_U5_t1,VL_U5_t1,V0_U5_t2,VL_U5_t2,V0_U5_t3,VL_U5_t3,V0_U5_t4,VL_U5_t4,V0_U5_t5,VL_U5_t5,V0_U5_t6,VL_U5_t6,V0_U5_t7,VL_U5_t7,V0_U5_t8,VL_U5_t8,V0_U5_t9,VL_U5_t9,V0_U5_t10,VL_U5_t10,V0_U5_t11,VL_U5_t11,V0_U5_t12,VL_U5_t12,V0_U5_t13,VL_U5_t13,V0_U5_t14,VL_U5_t14,V0_U5_t15,VL_U5_t15,V0_U5_t16,VL_U5_t16,V0_U6_t1,VL_U6_t1,V0_U6_t2,VL_U6_t2,V0_U6_t3,VL_U6_t3,V0_U6_t4,VL_U6_t4,V0_U6_t5,VL_U6_t5,V0_U6_t6,VL_U6_t6,V0_U6_t7,VL_U6_t7,V0_U6_t8,VL_U6_t8,V0_U6_t9,VL_U6_t9,V0_U6_t10,VL_U6_t10,V0_U6_t11,VL_U6_t11,V0_U6_t12,VL_U6_t12,V0_U6_t13,VL_U6_t13,V0_U6_t14,VL_U6_t14,V0_U6_t15,VL_U6_t15,V0_U6_t16,VL_U6_t16,V0_U7_t1,VL_U7_t1,V0_U7_t2,VL_U7_t2,V0_U7_t3,VL_U7_t3,V0_U7_t4,VL_U7_t4,V0_U7_t5,VL_U7_t5,V0_U7_t6,VL_U7_t6,V0_U7_t7,VL_U7_t7,V0_U7_t8,VL_U7_t8,V0_U7_t9,VL_U7_t9,V0_U7_t10,VL_U7_t10,V0_U7_t11,VL_U7_t11,V0_U7_t12,VL_U7_t12,V0_U7_t13,VL_U7_t13,V0_U7_t14,VL_U7_t14,V0_U7_t15,VL_U7_t15,V0_U7_t16,VL_U7_t16
9928daa89a7f867b,9928daa89a7f867b.json,M1_lead_slow_stop,M1_lead_slow_stop,3.106,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6413,1.0,0.458,1.0,0.3409,1.0,0.2643,1.0,0.2113,1.0,0.1729,1.0,0.1442,1.0,0.1222,1.0,0.1049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8955,0.0,0.61,0.0,0.4389,0.0,0.3315,0.0,0.2596,0.0,0.2089,0.0,0.1718,0.0,0.1439,0.0,0.1222,0.0,0.1052,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.0,0.5649,0.0,0.415,0.0,0.3178,0.0,0.2511,0.0,0.2034,0.0,0.1681,0.0,0.1412,0.0,0.1203,0.0,0.1038,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.0,0.5649,0.0,0.415,0.0,0.3178,0.0,0.2511,0.0,0.2034,0.0,0.1681,0.0,0.1412,0.0,0.1203,0.0,0.1038,0.0,0.0904,0.0,0.0794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
193973f267c0e3f8,193973f267c0e3f8.json,M1_lead_slow_stop,M1_lead_slow_stop;M6_temp_occupancy,1.735,2.48,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87,0.87,0.7221,0.7221,0.6088,0.6088,0.5201,0.5201,0.4494,0.4494,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8179,0.8838,0.6805,0.7376,0.5744,0.6226,0.5057,0.5322,0.4557,0.4611,0.4003,0.4023,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8193,0.8193,0.6832,0.6832,0.5793,0.5782,0.4966,0.4969,0.4303,0.4306,0.3765,0.3767,0.3321,0.3323,0.2957,0.2959,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.93,0.0,0.7581,0.5979,0.6307,0.5469,0.5365,0.5164,0.46,0.458,0.399,0.3985,0.3495,0.3491,0.3095,0.3091,0.2777,0.278,0.2518,0.2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.87,0.0,0.7221,0.0,0.6088,0.0,0.5201,0.0,0.4494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8179,0.0,0.6805,0.0,0.5744,0.0,0.5057,0.0,0.447,0.0,0.4003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8193,0.0,0.6832,0.0,0.5793,0.0,0.4966,0.0,0.4303,0.0,0.3765,0.0,0.3321,0.0,0.2957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.93,0.0,0.7581,0.0,0.6307,0.0,0.5365,0.0,0.46,0.0,0.399,0.0,0.3495,0.0,0.3095,0.0,0.2777,0.0,0.2518
a05540d6a0f4e3ab,a05540d6a0f4e3ab.json,M1_lead_slow_stop,M1_lead_slow_stop,2.991,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9466,1.0,0.7046,1.0,0.5947,1.0,0.5775,1.0,0.5418,1.0,0.4712,1.0,0.4053,1.0,0.3636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.7626,1.0,0.7011,1.0,0.6724,1.0,0.548,1.0,0.5042,1.0,0.4646,1.0,0.4068,1.0,0.3552,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9722,1.0,0.7756,1.0,0.7137,1.0,0.6545,1.0,0.5768,1.0,0.5153,1.0,0.4539,1.0,0.4025,1.0,0.3522,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.0,0.7409,0.0,0.626,0.0,0.5574,0.6043,0.5063,0.6051,0.4701,0.6134,0.4382,0.645,0.4052,0.7667,0.3709,0.9119,0.3369,1.0,0.3038,1.0,0.2697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167,0.0,0.898,0.0,0.8907,0.0,0.8889,0.0,0.89,0.0,0.9205,0.0,0.9916,0.0,0.9916,0.0,0.9916,0.0,0.9916,0.0,0.9916
62bad9e61da6dc44,62bad9e61da6dc44.json,M1_lead_slow_stop,M1_lead_slow_stop,3.717,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6413,1.0,0.458,1.0,0.3409,1.0,0.2687,1.0,0.2148,1.0,0.1758,1.0,0.1466,1.0,0.1242,1.0,0.1067,0.9423,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8955,0.0,0.61,1.0,0.4389,1.0,0.3315,1.0,0.2596,1.0,0.2089,1.0,0.1718,1.0,0.1439,1.0,0.1223,1.0,0.1052,0.931,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8001,0.0,0.5743,1.0,0.422,1.0,0.3232,1.0,0.2554,1.0,0.2069,1.0,0.171,1.0,0.1437,1.0,0.1225,1.0,0.1056,0.8623,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8001,0.0,0.5742,0.0,0.422,0.0,0.3231,0.8282,0.2553,0.8395,0.2068,0.85,0.171,0.8595,0.1437,0.8681,0.1224,0.8521,0.1056,0.8419,0.092,0.8356,0.0809,0.7344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8521,0.0,0.7704,0.0,0.7497,0.0,0.6928
b01112211aeddce1,b01112211aeddce1.json,M1_lead_slow_stop,M1_lead_slow_stop,3.48,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.7023,1.0,0.5228,1.0,0.4053,1.0,0.324,1.0,0.2652,1.0,0.2212,1.0,0.1874,1.0,0.1609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.91,1.0,0.6619,1.0,0.5,1.0,0.3915,1.0,0.3151,1.0,0.2592,1.0,0.217,1.0,0.1844,1.0,0.1586,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.852,1.0,0.6262,1.0,0.4796,1.0,0.379,1.0,0.3071,1.0,0.2538,1.0,0.2133,1.0,0.1818,1.0,0.1567,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.852,0.0,0.6261,0.0,0.4795,1.0,0.3789,1.0,0.307,1.0,0.2538,1.0,0.2133,1.0,0.1818,1.0,0.1567,1.0,0.1365,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
e3b4e3f3a09617e4,e3b4e3f3a09617e4.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.378,6.17,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8648,1.0,0.7458,1.0,0.6492,1.0,0.5699,1.0,0.5041,1.0,0.4489,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8553,1.0,0.74,1.0,0.6467,1.0,0.57,1.0,0.5081,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9344,0.9344,0.7947,0.7947,0.7258,0.6854,0.7009,0.5989,0.6885,0.5318,0.6846,0.4782,0.687,0.4344,0.6941,0.6941,0.7047,0.7047,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9574,0.0,0.8034,0.0,0.6875,0.0,0.6544,0.0,0.6448,0.0,0.6433,0.0,0.6477,0.0,0.6563,0.0,0.6684,0.6684,0.683,0.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8627,0.0,0.7439,0.0,0.6476,0.0,0.5685,0.0,0.5028,0.0,0.4787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8553,0.0,0.74,0.0,0.6467,0.0,0.57,0.0,0.5081,0.0,0.4583,0.0,0.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9344,0.0,0.7947,0.0,0.6854,0.0,0.5989,0.0,0.5318,0.0,0.4782,0.0,0.4344,0.0,0.398,0.0,0.3672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9574,0.0,0.8034,0.0,0.6875,0.0,0.6008,0.0,0.5335,0.0,0.4797,0.0,0.4358,0.0,0.3993,0.0,0.3684,0.0,0.342
10fa6689840a045e,10fa6689840a045e.json,M1_lead_slow_stop,M1_lead_slow_stop;M4_cut_in,3.618,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.983,0.9075,0.8943,0.7254,0.8204,0.5937,0.7695,0.4952,0.7212,0.4623,0.6823,0.3969,0.6469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9511,0.9106,0.8681,0.7329,0.8014,0.6028,0.7521,0.5047,0.7075,0.4709,0.6693,0.4052,0.6379,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9796,1.0,0.9063,0.8683,0.8395,0.75,0.78,0.6474,0.7356,0.5672,0.6945,0.4951,0.6608,0.4303,0.6293,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9524,0.0,0.75,0.0,0.6873,0.0,0.6534,0.0,0.5455,0.0,0.5023,0.0,0.4635,0.0,0.4167,0.0,0.3719,0.0,0.3295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3438,0.0,0.5424,0.0,0.6413,0.0,0.7023,0.0,0.7443,0.0,0.7753,0.0,0.7993,0.0,0.7233,0.0,0.7019,0.0,0.6762,0.0,0.6469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.4776,0.0,0.59,0.0,0.6619,0.0,0.712,0.0,0.7489,0.0,0.7774,0.0,0.707,0.0,0.6887,0.0,0.6653,0.0,0.6379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a70f5b2aa2077f39,a70f5b2aa2077f39.json,M1_lead_slow_stop,M1_lead_slow_stop;M2_vehicle_crossing;M3_vru_crossing,1.52,0.02,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8452,0.8487,0.6918,0.6947,0.5771,0.5795,0.489,0.491,0.4215,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8049,0.8255,0.6622,0.679,0.5544,0.5686,0.4711,0.4832,0.4054,0.4157,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714,0.9714,0.7876,0.7982,0.6515,0.6607,0.5478,0.556,0.4685,0.4744,0.4041,0.4095,1.0,0.0,1.0,0.0,0.8912,0.0,0.8154,0.0,0.8025,0.0,0.8076,0.0,0.818,0.0,0.8295,0.8295,0.8406,0.8406,0.7814,0.8013,0.6461,0.6626,0.5432,0.557,0.4681,0.4748,0.4091,0.4095,0.3565,0.3569,0.3137,0.3137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8452,0.0,0.6918,0.0,0.5771,0.0,0.489,0.0,0.4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8049,0.0,0.6622,0.0,0.5544,0.0,0.4812,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9714,0.0,0.7876,0.0,0.6515,0.0,0.5478,0.0,0.467,0.0,0.4078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076,0.0,0.818,0.0,0.8295,0.0,0.8406,0.0,0.7814,0.0,0.6461,0.0,0.5432,0.0,0.4681,0.0,0.4074,0.0,0.355,0.0,0.3126
e527e1e12a9fdc28,e527e1e12a9fdc28.json,M1_lead_slow_stop,M1_lead_slow_stop,3.174,0.33,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6514,0.0,0.5062,0.0,0.3787,0.0,0.2946,0.0,0.236,0.0,0.1935,0.0,0.1616,0.0,0.137,0.0,0.1177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9569,0.0,0.6493,0.0,0.4705,0.0,0.3571,0.0,0.2805,0.0,0.2262,0.0,0.1864,0.0,0.1562,0.0,0.1329,0.0,0.1144,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7222,0.0,0.528,0.0,0.3993,0.0,0.3122,0.0,0.2507,0.0,0.2056,0.0,0.1716,0.0,0.1454,0.0,0.1248,0.0,0.1082,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7734,0.0,0.5509,0.0,0.4123,0.0,0.3202,0.0,0.2558,0.0,0.2091,0.0,0.1741,0.0,0.1472,0.0,0.1261,0.0,0.1092,0.0,0.0955,0.0,0.0842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
fb6064f3ad03fffb,fb6064f3ad03fffb.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.664,12.92,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
