state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,group_i,group_j,same_coarse,same_fine,same_param_group,ego_speed_diff,d0_mean
block_cont_r1,cross_clear_r9,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v6|L5,cross_clear|v8|d5,0,0,0,2.0,0.291534
block_cont_r1,cross_stall_r1,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v6|d6,0,0,0,0.0,0.365982
block_cont_r1,cross_stall_r10,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v7|d7,0,0,0,1.0,0.361347
block_cont_r1,cross_stall_r11,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v8|d7,0,0,0,2.0,0.335235
block_cont_r1,cross_stall_r12,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v8|d8,0,0,0,2.0,0.354635
block_cont_r1,cross_stall_r2,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v6|d6,0,0,0,0.0,0.37603
block_cont_r1,cross_stall_r3,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v7|d6,0,0,0,1.0,0.351861
block_cont_r1,cross_stall_r4,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v7|d7,0,0,0,1.0,0.365048
block_cont_r1,cross_stall_r5,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v8|d7,0,0,0,2.0,0.32556
block_cont_r1,cross_stall_r6,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v8|d8,0,0,0,2.0,0.358581
block_cont_r1,cross_stall_r7,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v6|d6,0,0,0,0.0,0.361691
block_cont_r1,cross_stall_r8,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v6|d6,0,0,0,0.0,0.372361
block_cont_r1,cross_stall_r9,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v7|d6,0,0,0,1.0,0.349758
block_cont_r1,cross_stall_occ_r1,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v6|d6,0,0,0,0.0,0.053997
block_cont_r1,cross_stall_occ_r10,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v7|d7,0,0,0,1.0,0.101238
block_cont_r1,cross_stall_occ_r11,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v8|d7,0,0,0,2.0,0.038336
block_cont_r1,cross_stall_occ_r12,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v8|d8,0,0,0,2.0,0.067498
block_cont_r1,cross_stall_occ_r2,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v6|d7,0,0,0,0.0,0.067803
block_cont_r1,cross_stall_occ_r3,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v7|d7,0,0,0,1.0,0.089732
block_cont_r1,cross_stall_occ_r4,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v7|d7,0,0,0,1.0,0.12047
block_cont_r1,cross_stall_occ_r5,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v8|d7,0,0,0,2.0,0.057092
block_cont_r1,cross_stall_occ_r6,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v8|d8,0,0,0,2.0,0.068568
block_cont_r1,cross_stall_occ_r7,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v6|d6,0,0,0,0.0,0.057968
block_cont_r1,cross_stall_occ_r8,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v6|d7,0,0,0,0.0,0.064372
block_cont_r1,cross_stall_occ_r9,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v7|d7,0,0,0,1.0,0.073841
block_cont_r1,lead_cont_r1,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v6|s5,0,0,0,0.0,0.06674
block_cont_r1,lead_cont_r10,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v9|s8,0,0,0,3.0,0.116763
block_cont_r1,lead_cont_r11,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v7|s6,0,0,0,1.0,0.11807
block_cont_r1,lead_cont_r12,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v8|s7,0,0,0,2.0,0.101078
block_cont_r1,lead_cont_r2,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v6|s5,0,0,0,0.0,0.090803
block_cont_r1,lead_cont_r3,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v7|s5,0,0,0,1.0,0.119908
block_cont_r1,lead_cont_r4,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v7|s6,0,0,0,1.0,0.142259
block_cont_r1,lead_cont_r5,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v8|s6,0,0,0,2.0,0.099299
block_cont_r1,lead_cont_r6,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v8|s7,0,0,0,2.0,0.116561
block_cont_r1,lead_cont_r7,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v8|s7,0,0,0,2.0,0.101252
block_cont_r1,lead_cont_r8,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v9|s7,0,0,0,3.0,0.116217
block_cont_r1,lead_cont_r9,block_or_occupancy,lead,block_cont,lead_cont,block_cont|v6|L5,lead_cont|v9|s8,0,0,0,3.0,0.110683
block_cont_r1,lead_nec_r1,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v6|s5,0,0,0,0.0,0.383887
block_cont_r1,lead_nec_r10,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v9|s8,0,0,0,3.0,0.392074
block_cont_r1,lead_nec_r11,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v7|s6,0,0,0,1.0,0.388285
block_cont_r1,lead_nec_r12,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v8|s7,0,0,0,2.0,0.405753
block_cont_r1,lead_nec_r2,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v6|s5,0,0,0,0.0,0.407956
block_cont_r1,lead_nec_r3,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v7|s5,0,0,0,1.0,0.390131
block_cont_r1,lead_nec_r4,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v7|s6,0,0,0,1.0,0.403396
block_cont_r1,lead_nec_r5,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v8|s6,0,0,0,2.0,0.388242
block_cont_r1,lead_nec_r6,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v8|s7,0,0,0,2.0,0.409285
block_cont_r1,lead_nec_r7,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v8|s7,0,0,0,2.0,0.405926
block_cont_r1,lead_nec_r8,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v9|s7,0,0,0,3.0,0.391482
block_cont_r1,lead_nec_r9,block_or_occupancy,lead,block_cont,lead_nec,block_cont|v6|L5,lead_nec|v9|s8,0,0,0,3.0,0.396831
block_cont_r1,lead_opt_r1,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v6|s6,0,0,0,0.0,0.397059
block_cont_r1,lead_opt_r10,block_or_occupancy,lead,block_cont,lead_opt,block_cont|v6|L5,lead_opt|v8|s7,0,0,0,2.0,0.383765
