cross_pair,d0_cross,d0_same,abs_diff
block_cont_r10__cross_clear_r9,0.254429,0.254676,0.000247
block_cont_r10__cross_stall_occ_r1,0.071482,0.071487,5e-06
block_cont_r10__cross_stall_occ_r10,0.035543,0.035505,3.8e-05
block_cont_r10__cross_stall_occ_r11,0.044876,0.044876,0.0
block_cont_r10__cross_stall_occ_r12,0.065438,0.065298,0.00014
block_cont_r10__cross_stall_occ_r2,0.085288,0.085051,0.000237
block_cont_r10__cross_stall_occ_r3,0.024037,0.024037,0.0
block_cont_r10__cross_stall_occ_r4,0.059801,0.059787,1.4e-05
block_cont_r10__cross_stall_occ_r5,0.053376,0.053168,0.000208
block_cont_r10__cross_stall_occ_r6,0.064782,0.064759,2.3e-05
block_cont_r10__cross_stall_occ_r7,0.071312,0.071361,4.9e-05
block_cont_r10__cross_stall_occ_r8,0.081857,0.082,0.000143
block_cont_r10__cross_stall_occ_r9,0.031779,0.031768,1.1e-05
block_cont_r10__cross_stall_r1,0.329986,0.329919,6.7e-05
block_cont_r10__cross_stall_r10,0.32535,0.325303,4.7e-05
block_cont_r10__cross_stall_r11,0.313174,0.313354,0.00018
block_cont_r10__cross_stall_r12,0.318639,0.31863,9e-06
block_cont_r10__cross_stall_r2,0.340033,0.340062,2.9e-05
block_cont_r10__cross_stall_r3,0.315864,0.315848,1.6e-05
block_cont_r10__cross_stall_r4,0.329051,0.32914,8.9e-05
block_cont_r10__cross_stall_r5,0.294619,0.294804,0.000185
block_cont_r10__cross_stall_r6,0.322585,0.32261,2.5e-05
block_cont_r10__cross_stall_r7,0.325695,0.325694,1e-06
block_cont_r10__cross_stall_r8,0.336365,0.336231,0.000134
block_cont_r10__cross_stall_r9,0.313761,0.313744,1.7e-05
block_cont_r10__lead_cont_r1,0.084225,0.084231,6e-06
block_cont_r10__lead_cont_r10,0.095223,0.095178,4.5e-05
block_cont_r10__lead_cont_r11,0.052375,0.052357,1.8e-05
block_cont_r10__lead_cont_r12,0.104302,0.104363,6.1e-05
block_cont_r10__lead_cont_r2,0.108288,0.107962,0.000326
block_cont_r10__lead_cont_r3,0.054213,0.054207,6e-06
block_cont_r10__lead_cont_r4,0.077825,0.077676,0.000149
block_cont_r10__lead_cont_r5,0.097692,0.0975,0.000192
block_cont_r10__lead_cont_r6,0.118738,0.118656,8.2e-05
block_cont_r10__lead_cont_r7,0.104475,0.104363,0.000112
block_cont_r10__lead_cont_r8,0.094677,0.094653,2.4e-05
block_cont_r10__lead_cont_r9,0.084985,0.085051,6.6e-05
block_cont_r10__lead_nec_r1,0.347891,0.348197,0.000306
block_cont_r10__lead_nec_r10,0.356077,0.356102,2.5e-05
block_cont_r10__lead_nec_r11,0.352289,0.352595,0.000306
block_cont_r10__lead_nec_r12,0.369756,0.369377,0.000379
block_cont_r10__lead_nec_r2,0.37196,0.371988,2.8e-05
block_cont_r10__lead_nec_r3,0.354134,0.354037,9.7e-05
block_cont_r10__lead_nec_r4,0.367399,0.367468,6.9e-05
block_cont_r10__lead_nec_r5,0.352246,0.351952,0.000294
block_cont_r10__lead_nec_r6,0.373288,0.373275,1.3e-05
block_cont_r10__lead_nec_r7,0.369929,0.370182,0.000253
block_cont_r10__lead_nec_r8,0.355485,0.355471,1.4e-05
block_cont_r10__lead_nec_r9,0.360834,0.360787,4.7e-05
block_cont_r10__lead_opt_r1,0.361063,0.361131,6.8e-05
block_cont_r10__lead_opt_r10,0.347768,0.347515,0.000253
block_cont_r10__lead_opt_r11,0.387451,0.388017,0.000566
block_cont_r10__lead_opt_r12,0.375423,0.375294,0.000129
block_cont_r10__lead_opt_r2,0.377557,0.37773,0.000173
block_cont_r10__lead_opt_r3,0.350586,0.350628,4.2e-05
