pair_id,pair_type,state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,same_param_group,ego_speed_diff,d0_mean,d1_mean,d1_validonly,feasibility_agree,n_valid_actions
c1_block_cont_01__c1_lead_cont_04,cross,c1_block_cont_01,c1_lead_cont_04,block_or_occupancy,lead,block_cont,lead_cont,0,1.0,0.129177,0.060152,0.060152,1.0,8
c1_block_cont_01__c1_lead_cont_05,cross,c1_block_cont_01,c1_lead_cont_05,block_or_occupancy,lead,block_cont,lead_cont,0,2.0,0.089821,0.043883,0.043883,1.0,8
c1_block_cont_01__c1_lead_cont_06,cross,c1_block_cont_01,c1_lead_cont_06,block_or_occupancy,lead,block_cont,lead_cont,0,2.0,0.093296,0.045557,0.045557,1.0,8
c1_block_cont_01__c1_lead_cont_07,cross,c1_block_cont_01,c1_lead_cont_07,block_or_occupancy,lead,block_cont,lead_cont,0,3.0,0.084424,0.041369,0.041369,1.0,8
c1_block_cont_01__c1_lead_cont_08,cross,c1_block_cont_01,c1_lead_cont_08,block_or_occupancy,lead,block_cont,lead_cont,0,3.0,0.097812,0.043784,0.043784,1.0,8
c1_block_cont_01__c1_lead_nec_01,cross,c1_block_cont_01,c1_lead_nec_01,block_or_occupancy,lead,block_cont,lead_nec,0,0.0,0.38005,0.305632,0.305632,1.0,8
c1_block_cont_01__c1_lead_nec_02,cross,c1_block_cont_01,c1_lead_nec_02,block_or_occupancy,lead,block_cont,lead_nec,0,0.0,0.408556,0.320824,0.320824,1.0,8
c1_block_cont_01__c1_lead_nec_03,cross,c1_block_cont_01,c1_lead_nec_03,block_or_occupancy,lead,block_cont,lead_nec,0,1.0,0.368138,0.297889,0.297889,1.0,8
c1_block_cont_01__c1_lead_nec_04,cross,c1_block_cont_01,c1_lead_nec_04,block_or_occupancy,lead,block_cont,lead_nec,0,1.0,0.399434,0.315488,0.315488,1.0,8
c1_block_cont_01__c1_lead_nec_05,cross,c1_block_cont_01,c1_lead_nec_05,block_or_occupancy,lead,block_cont,lead_nec,0,2.0,0.394531,0.312054,0.312054,1.0,8
c1_block_cont_01__c1_lead_nec_06,cross,c1_block_cont_01,c1_lead_nec_06,block_or_occupancy,lead,block_cont,lead_nec,0,2.0,0.398006,0.313728,0.313728,1.0,8
c1_block_cont_01__c1_lead_nec_07,cross,c1_block_cont_01,c1_lead_nec_07,block_or_occupancy,lead,block_cont,lead_nec,0,3.0,0.355941,0.282615,0.282615,1.0,8
c1_block_cont_01__c1_lead_nec_08,cross,c1_block_cont_01,c1_lead_nec_08,block_or_occupancy,lead,block_cont,lead_nec,0,3.0,0.391678,0.309354,0.309354,1.0,8
c1_block_cont_01__c1_lead_opt_01,cross,c1_block_cont_01,c1_lead_opt_01,block_or_occupancy,lead,block_cont,lead_opt,0,0.0,0.397895,0.317321,0.317321,1.0,8
c1_block_cont_01__c1_lead_opt_02,cross,c1_block_cont_01,c1_lead_opt_02,block_or_occupancy,lead,block_cont,lead_opt,0,0.0,0.406921,0.321869,0.321869,1.0,8
c1_block_cont_01__c1_lead_opt_03,cross,c1_block_cont_01,c1_lead_opt_03,block_or_occupancy,lead,block_cont,lead_opt,0,1.0,0.401836,0.319135,0.319135,1.0,8
c1_block_cont_01__c1_lead_opt_04,cross,c1_block_cont_01,c1_lead_opt_04,block_or_occupancy,lead,block_cont,lead_opt,0,1.0,0.384905,0.309657,0.309657,1.0,8
c1_block_cont_01__c1_lead_opt_05,cross,c1_block_cont_01,c1_lead_opt_05,block_or_occupancy,lead,block_cont,lead_opt,0,2.0,0.383791,0.308469,0.308469,1.0,8
c1_block_cont_01__c1_lead_opt_06,cross,c1_block_cont_01,c1_lead_opt_06,block_or_occupancy,lead,block_cont,lead_opt,0,2.0,0.373498,0.301622,0.301622,1.0,8
c1_block_cont_01__c1_lead_opt_07,cross,c1_block_cont_01,c1_lead_opt_07,block_or_occupancy,lead,block_cont,lead_opt,0,3.0,0.360945,0.27312,0.27312,1.0,8
c1_block_cont_01__c1_lead_opt_08,cross,c1_block_cont_01,c1_lead_opt_08,block_or_occupancy,lead,block_cont,lead_opt,0,3.0,0.382982,0.300953,0.300953,1.0,8
c1_block_cont_02__c1_cross_clear_01,cross,c1_block_cont_02,c1_cross_clear_01,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.316839,0.278802,0.278802,1.0,8
c1_block_cont_02__c1_cross_clear_02,cross,c1_block_cont_02,c1_cross_clear_02,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.251708,0.249307,0.249307,1.0,8
c1_block_cont_02__c1_cross_clear_03,cross,c1_block_cont_02,c1_cross_clear_03,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.348285,0.28918,0.28918,1.0,8
c1_block_cont_02__c1_cross_clear_04,cross,c1_block_cont_02,c1_cross_clear_04,block_or_occupancy,cross,block_cont,cross_clear,0,0.0,0.310125,0.268038,0.268038,1.0,8
c1_block_cont_02__c1_cross_clear_05,cross,c1_block_cont_02,c1_cross_clear_05,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.364803,0.289529,0.289529,1.0,8
c1_block_cont_02__c1_cross_clear_06,cross,c1_block_cont_02,c1_cross_clear_06,block_or_occupancy,cross,block_cont,cross_clear,0,1.0,0.287242,0.255651,0.255651,1.0,8
c1_block_cont_02__c1_cross_clear_07,cross,c1_block_cont_02,c1_cross_clear_07,block_or_occupancy,cross,block_cont,cross_clear,0,2.0,0.260004,0.176925,0.176925,1.0,8
c1_block_cont_02__c1_cross_clear_08,cross,c1_block_cont_02,c1_cross_clear_08,block_or_occupancy,cross,block_cont,cross_clear,0,2.0,0.14465,0.125311,0.125311,1.0,8
c1_block_cont_02__c1_cross_stall_01,cross,c1_block_cont_02,c1_cross_stall_01,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.344872,0.277375,0.277375,1.0,8
c1_block_cont_02__c1_cross_stall_02,cross,c1_block_cont_02,c1_cross_stall_02,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.355786,0.284902,0.284902,1.0,8
c1_block_cont_02__c1_cross_stall_03,cross,c1_block_cont_02,c1_cross_stall_03,block_or_occupancy,cross,block_cont,cross_stall,0,0.0,0.361903,0.28831,0.28831,1.0,8
c1_block_cont_02__c1_cross_stall_04,cross,c1_block_cont_02,c1_cross_stall_04,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.354875,0.283222,0.283222,1.0,8
c1_block_cont_02__c1_cross_stall_05,cross,c1_block_cont_02,c1_cross_stall_05,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.356203,0.283938,0.283938,1.0,8
c1_block_cont_02__c1_cross_stall_06,cross,c1_block_cont_02,c1_cross_stall_06,block_or_occupancy,cross,block_cont,cross_stall,0,1.0,0.342183,0.273138,0.273138,1.0,8
