pair_id,pair_type,state_i,state_j,probe_action,d0_mean,d1_action,feasibility_agree,both_valid,both_infeasible,one_valid
c1_block_cont_01__c1_cross_clear_06,cross,c1_block_cont_01,c1_cross_clear_06,U1,0.294681,0.355043,1,1,0,0
c1_block_cont_01__c1_cross_clear_06,cross,c1_block_cont_01,c1_cross_clear_06,U2,0.294681,0.3222,1,1,0,0
c1_block_cont_01__c1_cross_clear_06,cross,c1_block_cont_01,c1_cross_clear_06,U3,0.294681,0.291174,1,1,0,0
c1_block_cont_01__c1_cross_clear_06,cross,c1_block_cont_01,c1_cross_clear_06,U4,0.294681,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_clear_06,cross,c1_block_cont_01,c1_cross_clear_06,U5,0.294681,0.202767,1,1,0,0
c1_block_cont_01__c1_cross_clear_06,cross,c1_block_cont_01,c1_cross_clear_06,U6,0.294681,0.182655,1,1,0,0
c1_block_cont_01__c1_cross_clear_06,cross,c1_block_cont_01,c1_cross_clear_06,U7,0.294681,0.161958,1,1,0,0
c1_block_cont_01__c1_cross_clear_07,cross,c1_block_cont_01,c1_cross_clear_07,U0,0.263197,0.295003,1,1,0,0
c1_block_cont_01__c1_cross_clear_07,cross,c1_block_cont_01,c1_cross_clear_07,U1,0.263197,0.262785,1,1,0,0
c1_block_cont_01__c1_cross_clear_07,cross,c1_block_cont_01,c1_cross_clear_07,U2,0.263197,0.219331,1,1,0,0
c1_block_cont_01__c1_cross_clear_07,cross,c1_block_cont_01,c1_cross_clear_07,U3,0.263197,0.419317,1,1,0,0
c1_block_cont_01__c1_cross_clear_07,cross,c1_block_cont_01,c1_cross_clear_07,U4,0.263197,0.175571,1,1,0,0
c1_block_cont_01__c1_cross_clear_07,cross,c1_block_cont_01,c1_cross_clear_07,U5,0.263197,0.079309,1,1,0,0
c1_block_cont_01__c1_cross_clear_07,cross,c1_block_cont_01,c1_cross_clear_07,U6,0.263197,0.0,1,1,0,0
c1_block_cont_01__c1_cross_clear_07,cross,c1_block_cont_01,c1_cross_clear_07,U7,0.263197,0.0,1,1,0,0
c1_block_cont_01__c1_cross_clear_08,cross,c1_block_cont_01,c1_cross_clear_08,U0,0.127834,0.303238,1,1,0,0
c1_block_cont_01__c1_cross_clear_08,cross,c1_block_cont_01,c1_cross_clear_08,U1,0.127834,0.174749,1,1,0,0
c1_block_cont_01__c1_cross_clear_08,cross,c1_block_cont_01,c1_cross_clear_08,U2,0.127834,0.072037,1,1,0,0
c1_block_cont_01__c1_cross_clear_08,cross,c1_block_cont_01,c1_cross_clear_08,U3,0.127834,0.030664,1,1,0,0
c1_block_cont_01__c1_cross_clear_08,cross,c1_block_cont_01,c1_cross_clear_08,U4,0.127834,0.174087,1,1,0,0
c1_block_cont_01__c1_cross_clear_08,cross,c1_block_cont_01,c1_cross_clear_08,U5,0.127834,0.12473,1,1,0,0
c1_block_cont_01__c1_cross_clear_08,cross,c1_block_cont_01,c1_cross_clear_08,U6,0.127834,0.050149,1,1,0,0
c1_block_cont_01__c1_cross_clear_08,cross,c1_block_cont_01,c1_cross_clear_08,U7,0.127834,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_01,cross,c1_block_cont_01,c1_cross_stall_01,U0,0.352311,0.37601,1,1,0,0
c1_block_cont_01__c1_cross_stall_01,cross,c1_block_cont_01,c1_cross_stall_01,U1,0.352311,0.357277,1,1,0,0
c1_block_cont_01__c1_cross_stall_01,cross,c1_block_cont_01,c1_cross_stall_01,U2,0.352311,0.357957,1,1,0,0
c1_block_cont_01__c1_cross_stall_01,cross,c1_block_cont_01,c1_cross_stall_01,U3,0.352311,0.36861,1,1,0,0
c1_block_cont_01__c1_cross_stall_01,cross,c1_block_cont_01,c1_cross_stall_01,U4,0.352311,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_01,cross,c1_block_cont_01,c1_cross_stall_01,U5,0.352311,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_01,cross,c1_block_cont_01,c1_cross_stall_01,U6,0.352311,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_01,cross,c1_block_cont_01,c1_cross_stall_01,U7,0.352311,0.2125,1,1,0,0
c1_block_cont_01__c1_cross_stall_02,cross,c1_block_cont_01,c1_cross_stall_02,U0,0.363225,0.386398,1,1,0,0
