state_i,state_j,coarse_i,coarse_j,same_group,d0_8,d0_10,d1_8
c1_block_cont_01,c1_lead_opt_08,block_or_occupancy,lead,0,0.3365703125,0.3829821875,0.27345693359375
c1_block_cont_02,c1_cross_clear_01,block_or_occupancy,cross,0,0.267372265625,0.3168390625,0.247243359375
c1_block_cont_02,c1_cross_clear_02,block_or_occupancy,cross,0,0.21608125,0.25170781249999996,0.22150864257812497
c1_block_cont_02,c1_cross_clear_03,block_or_occupancy,cross,0,0.29927578125,0.34828468749999997,0.257527392578125
c1_block_cont_02,c1_cross_clear_04,block_or_occupancy,cross,0,0.272302734375,0.31012500000000004,0.239182177734375
c1_block_cont_02,c1_cross_clear_05,block_or_occupancy,cross,0,0.312884765625,0.364803125,0.25697949218750005
c1_block_cont_02,c1_cross_clear_06,block_or_occupancy,cross,0,0.254257421875,0.28724218749999997,0.2284109375
c1_block_cont_02,c1_cross_clear_07,block_or_occupancy,cross,0,0.217696875,0.2600040625,0.15874086914062502
c1_block_cont_02,c1_cross_clear_08,block_or_occupancy,cross,0,0.13513437499999997,0.1446496875,0.11938183593750001
c1_block_cont_02,c1_cross_stall_01,block_or_occupancy,cross,0,0.30700390624999996,0.3448721875,0.253343115234375
c1_block_cont_02,c1_cross_stall_02,block_or_occupancy,cross,0,0.317709375,0.3557859375,0.26071044921875
c1_block_cont_02,c1_cross_stall_03,block_or_occupancy,cross,0,0.3235203125,0.3619034375,0.263929736328125
c1_block_cont_02,c1_cross_stall_04,block_or_occupancy,cross,0,0.3161828125,0.354875,0.25877016601562497
c1_block_cont_02,c1_cross_stall_05,block_or_occupancy,cross,0,0.317456640625,0.35620250000000003,0.25945454101562504
c1_block_cont_02,c1_cross_stall_06,block_or_occupancy,cross,0,0.305044921875,0.3421834375,0.250196484375
c1_block_cont_02,c1_cross_stall_07,block_or_occupancy,cross,0,0.31931484375,0.3547903125,0.231406298828125
c1_block_cont_02,c1_cross_stall_08,block_or_occupancy,cross,0,0.301598828125,0.3384634375,0.235868603515625
c1_block_cont_02,c1_cross_stall_occ_01,block_or_occupancy,cross,0,0.022688671875,0.0231440625,0.013302050781249998
c1_block_cont_02,c1_cross_stall_occ_02,block_or_occupancy,cross,0,0.023862890625,0.024376562499999997,0.0138890625
c1_block_cont_02,c1_cross_stall_occ_03,block_or_occupancy,cross,0,0.06012656250000001,0.058951875,0.027370361328125002
c1_block_cont_02,c1_cross_stall_occ_04,block_or_occupancy,cross,0,0.06179140625,0.0605896875,0.028104687499999996
c1_block_cont_02,c1_cross_stall_occ_05,block_or_occupancy,cross,0,0.05505078125,0.05823375000000001,0.032128125
