pair_id,state_i,state_j,coarse_i,coarse_j,same_coarse,d0_mean,d0_max,d1_mean,d1_max,closure_drift,n_common_actions,pair_type
block_cont_r1__cross_stall_occ_r12,block_cont_r1,cross_stall_occ_r12,block_or_occupancy,cross,0,0.060712,0.1269,0.130509,0.388955,0.069797,8,cross
block_cont_r1__cross_stall_occ_r2,block_cont_r1,cross_stall_occ_r2,block_or_occupancy,cross,0,0.102788,0.2461,0.099051,0.40181,-0.003737,8,cross
block_cont_r1__cross_stall_occ_r3,block_cont_r1,cross_stall_occ_r3,block_or_occupancy,cross,0,0.305375,1.0,0.271925,0.442915,-0.03345,8,cross
block_cont_r1__cross_stall_occ_r4,block_cont_r1,cross_stall_occ_r4,block_or_occupancy,cross,0,0.3477,1.0,0.298538,0.524458,-0.049162,8,cross
block_cont_r1__cross_stall_occ_r5,block_cont_r1,cross_stall_occ_r5,block_or_occupancy,cross,0,0.060862,0.1276,0.098809,0.307651,0.037947,8,cross
block_cont_r1__cross_stall_occ_r6,block_cont_r1,cross_stall_occ_r6,block_or_occupancy,cross,0,0.060938,0.1276,0.132042,0.388955,0.071104,8,cross
block_cont_r1__cross_stall_occ_r7,block_cont_r1,cross_stall_occ_r7,block_or_occupancy,cross,0,0.063075,0.151,0.089187,0.391552,0.026112,8,cross
block_cont_r1__cross_stall_occ_r8,block_cont_r1,cross_stall_occ_r8,block_or_occupancy,cross,0,0.094925,0.228,0.096895,0.399828,0.00197,8,cross
block_cont_r1__cross_stall_occ_r9,block_cont_r1,cross_stall_occ_r9,block_or_occupancy,cross,0,0.297988,1.0,0.281469,0.531421,-0.016519,8,cross
block_cont_r1__cross_stall_r1,block_cont_r1,cross_stall_r1,block_or_occupancy,cross,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__cross_stall_r10,block_cont_r1,cross_stall_r10,block_or_occupancy,cross,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__cross_stall_r11,block_cont_r1,cross_stall_r11,block_or_occupancy,cross,0,0.909837,1.0,0.624702,0.910391,-0.285135,8,cross
block_cont_r1__cross_stall_r12,block_cont_r1,cross_stall_r12,block_or_occupancy,cross,0,0.9131,1.0,0.699259,0.929642,-0.213841,8,cross
block_cont_r1__cross_stall_r2,block_cont_r1,cross_stall_r2,block_or_occupancy,cross,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__cross_stall_r3,block_cont_r1,cross_stall_r3,block_or_occupancy,cross,0,0.908175,1.0,0.699457,0.931232,-0.208718,8,cross
block_cont_r1__cross_stall_r4,block_cont_r1,cross_stall_r4,block_or_occupancy,cross,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__cross_stall_r5,block_cont_r1,cross_stall_r5,block_or_occupancy,cross,0,0.8782,1.0,0.630686,0.910391,-0.247514,8,cross
block_cont_r1__cross_stall_r6,block_cont_r1,cross_stall_r6,block_or_occupancy,cross,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__cross_stall_r7,block_cont_r1,cross_stall_r7,block_or_occupancy,cross,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__cross_stall_r8,block_cont_r1,cross_stall_r8,block_or_occupancy,cross,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__cross_stall_r9,block_cont_r1,cross_stall_r9,block_or_occupancy,cross,0,0.9131,1.0,0.699071,0.928143,-0.214029,8,cross
block_cont_r1__lead_cont_r1,block_cont_r1,lead_cont_r1,block_or_occupancy,lead,0,0.100263,0.2406,0.098448,0.401207,-0.001815,8,cross
block_cont_r1__lead_cont_r10,block_cont_r1,lead_cont_r10,block_or_occupancy,lead,0,0.270575,1.0,0.213369,0.481868,-0.057206,8,cross
block_cont_r1__lead_cont_r11,block_cont_r1,lead_cont_r11,block_or_occupancy,lead,0,0.367287,1.0,0.302515,0.529599,-0.064772,8,cross
block_cont_r1__lead_cont_r12,block_cont_r1,lead_cont_r12,block_or_occupancy,lead,0,0.17355,0.3829,0.194149,0.543046,0.020599,8,cross
block_cont_r1__lead_cont_r2,block_cont_r1,lead_cont_r2,block_or_occupancy,lead,0,0.173387,0.4159,0.135591,0.420517,-0.037796,8,cross
block_cont_r1__lead_cont_r3,block_cont_r1,lead_cont_r3,block_or_occupancy,lead,0,0.37205,1.0,0.303799,0.530884,-0.068251,8,cross
block_cont_r1__lead_cont_r4,block_cont_r1,lead_cont_r4,block_or_occupancy,lead,0,0.416837,1.0,0.333048,0.564948,-0.083789,8,cross
block_cont_r1__lead_cont_r5,block_cont_r1,lead_cont_r5,block_or_occupancy,lead,0,0.126613,0.2765,0.170689,0.530925,0.044076,8,cross
block_cont_r1__lead_cont_r6,block_cont_r1,lead_cont_r6,block_or_occupancy,lead,0,0.192112,0.4255,0.2009,0.547894,0.008788,8,cross
block_cont_r1__lead_cont_r7,block_cont_r1,lead_cont_r7,block_or_occupancy,lead,0,0.17355,0.3829,0.194149,0.543046,0.020599,8,cross
block_cont_r1__lead_cont_r8,block_cont_r1,lead_cont_r8,block_or_occupancy,lead,0,0.270575,1.0,0.213369,0.481868,-0.057206,8,cross
block_cont_r1__lead_cont_r9,block_cont_r1,lead_cont_r9,block_or_occupancy,lead,0,0.274525,1.0,0.213782,0.481932,-0.060743,8,cross
block_cont_r1__lead_nec_r1,block_cont_r1,lead_nec_r1,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r10,block_cont_r1,lead_nec_r10,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r11,block_cont_r1,lead_nec_r11,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r12,block_cont_r1,lead_nec_r12,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r2,block_cont_r1,lead_nec_r2,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r3,block_cont_r1,lead_nec_r3,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r4,block_cont_r1,lead_nec_r4,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r5,block_cont_r1,lead_nec_r5,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r6,block_cont_r1,lead_nec_r6,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r7,block_cont_r1,lead_nec_r7,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r8,block_cont_r1,lead_nec_r8,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_nec_r9,block_cont_r1,lead_nec_r9,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r1,block_cont_r1,lead_opt_r1,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r10,block_cont_r1,lead_opt_r10,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r11,block_cont_r1,lead_opt_r11,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r12,block_cont_r1,lead_opt_r12,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r2,block_cont_r1,lead_opt_r2,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r3,block_cont_r1,lead_opt_r3,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r4,block_cont_r1,lead_opt_r4,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r5,block_cont_r1,lead_opt_r5,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r6,block_cont_r1,lead_opt_r6,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__lead_opt_r7,block_cont_r1,lead_opt_r7,block_or_occupancy,lead,0,0.9131,1.0,0.699106,0.928419,-0.213994,8,cross
block_cont_r1__lead_opt_r8,block_cont_r1,lead_opt_r8,block_or_occupancy,lead,0,0.9131,1.0,0.682752,0.922591,-0.230348,8,cross
block_cont_r1__lead_opt_r9,block_cont_r1,lead_opt_r9,block_or_occupancy,lead,0,0.9131,1.0,0.715082,0.975603,-0.198018,8,cross
block_cont_r1__temp_opt_r1,block_cont_r1,temp_opt_r1,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.715082,0.975603,-0.198018,8,same
block_cont_r1__temp_opt_r10,block_cont_r1,temp_opt_r10,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.715082,0.975603,-0.198018,8,same
block_cont_r1__temp_opt_r11,block_cont_r1,temp_opt_r11,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.715082,0.975603,-0.198018,8,same
block_cont_r1__temp_opt_r12,block_cont_r1,temp_opt_r12,block_or_occupancy,block_or_occupancy,1,0.909837,1.0,0.624702,0.910391,-0.285135,8,same
block_cont_r1__temp_opt_r2,block_cont_r1,temp_opt_r2,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.715082,0.975603,-0.198018,8,same
block_cont_r1__temp_opt_r3,block_cont_r1,temp_opt_r3,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.715082,0.975603,-0.198018,8,same
block_cont_r1__temp_opt_r4,block_cont_r1,temp_opt_r4,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.699457,0.931232,-0.213643,8,same
block_cont_r1__temp_opt_r5,block_cont_r1,temp_opt_r5,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.715082,0.975603,-0.198018,8,same
block_cont_r1__temp_opt_r6,block_cont_r1,temp_opt_r6,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.715082,0.975603,-0.198018,8,same
block_cont_r1__temp_opt_r7,block_cont_r1,temp_opt_r7,block_or_occupancy,block_or_occupancy,1,0.887775,1.0,0.588726,0.910391,-0.299049,8,same
block_cont_r1__temp_opt_r8,block_cont_r1,temp_opt_r8,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.662993,0.910391,-0.250107,8,same
block_cont_r1__temp_opt_r9,block_cont_r1,temp_opt_r9,block_or_occupancy,block_or_occupancy,1,0.9131,1.0,0.715082,0.975603,-0.198018,8,same
block_cont_r10__block_cont_r11,block_cont_r10,block_cont_r11,block_or_occupancy,block_or_occupancy,1,0.515937,1.0,0.3055,0.649859,-0.210437,8,same
block_cont_r10__block_cont_r12,block_cont_r10,block_cont_r12,block_or_occupancy,block_or_occupancy,1,0.383725,1.0,0.257386,0.513848,-0.126339,8,same
