pair_id,state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,d0_mean,d0_max,probe_action,successor_valid_i,successor_valid_j,d1_action_mean,d1_action_max
block_cont_r1__block_cont_r3,block_cont_r1,block_cont_r3,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.251525,1.0,U4,1,1,0.375,0.375
block_cont_r1__block_cont_r3,block_cont_r1,block_cont_r3,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.251525,1.0,U5,1,1,0.125,0.125
block_cont_r1__block_cont_r3,block_cont_r1,block_cont_r3,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.251525,1.0,U6,1,1,0.0,0.0
block_cont_r1__block_cont_r3,block_cont_r1,block_cont_r3,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.251525,1.0,U7,1,1,0.0,0.0
block_cont_r1__block_cont_r4,block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.27825,1.0,U0,1,1,0.516473,0.516473
block_cont_r1__block_cont_r4,block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.27825,1.0,U1,1,1,0.397955,0.397955
block_cont_r1__block_cont_r4,block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.27825,1.0,U2,1,1,0.269253,0.269253
block_cont_r1__block_cont_r4,block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.27825,1.0,U3,1,1,0.256463,0.256463
block_cont_r1__block_cont_r4,block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.27825,1.0,U4,1,1,0.375,0.375
block_cont_r1__block_cont_r4,block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.27825,1.0,U5,1,1,0.125,0.125
block_cont_r1__block_cont_r4,block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.27825,1.0,U6,1,1,0.0,0.0
block_cont_r1__block_cont_r4,block_cont_r1,block_cont_r4,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.27825,1.0,U7,1,1,0.0,0.0
block_cont_r1__block_cont_r5,block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.12955,1.0,U0,1,1,0.018404,0.018404
block_cont_r1__block_cont_r5,block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.12955,1.0,U1,1,1,0.389367,0.389367
block_cont_r1__block_cont_r5,block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.12955,1.0,U2,1,1,0.380001,0.380001
block_cont_r1__block_cont_r5,block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.12955,1.0,U3,1,1,0.25,0.25
block_cont_r1__block_cont_r5,block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.12955,1.0,U4,1,1,0.0,0.0
block_cont_r1__block_cont_r5,block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.12955,1.0,U5,1,1,0.0,0.0
block_cont_r1__block_cont_r5,block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.12955,1.0,U6,1,1,0.0,0.0
block_cont_r1__block_cont_r5,block_cont_r1,block_cont_r5,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.12955,1.0,U7,1,1,0.0,0.0
block_cont_r1__block_cont_r6,block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.013925,0.0324,U0,1,1,0.008054,0.008054
block_cont_r1__block_cont_r6,block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.013925,0.0324,U1,1,1,0.25561,0.25561
block_cont_r1__block_cont_r6,block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.013925,0.0324,U2,1,1,0.254068,0.254068
block_cont_r1__block_cont_r6,block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.013925,0.0324,U3,1,1,0.126834,0.126834
block_cont_r1__block_cont_r6,block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.013925,0.0324,U4,1,1,0.0,0.0
block_cont_r1__block_cont_r6,block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.013925,0.0324,U5,1,1,0.0,0.0
block_cont_r1__block_cont_r6,block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.013925,0.0324,U6,1,1,0.0,0.0
block_cont_r1__block_cont_r6,block_cont_r1,block_cont_r6,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.013925,0.0324,U7,1,1,0.0,0.0
block_cont_r1__block_cont_r7,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.032775,0.0669,U0,1,1,0.030838,0.030838
block_cont_r1__block_cont_r7,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.032775,0.0669,U1,1,1,0.276054,0.276054
block_cont_r1__block_cont_r7,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.032775,0.0669,U2,1,1,0.145803,0.145803
block_cont_r1__block_cont_r7,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.032775,0.0669,U3,1,1,0.256682,0.256682
block_cont_r1__block_cont_r7,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.032775,0.0669,U4,1,1,0.0,0.0
block_cont_r1__block_cont_r7,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.032775,0.0669,U5,1,1,0.0,0.0
block_cont_r1__block_cont_r7,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.032775,0.0669,U6,1,1,0.0,0.0
block_cont_r1__block_cont_r7,block_cont_r1,block_cont_r7,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.032775,0.0669,U7,1,1,0.0,0.0
block_cont_r1__block_cont_r8,block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.253575,1.0,U0,1,1,0.137782,0.137782
block_cont_r1__block_cont_r8,block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.253575,1.0,U1,1,1,0.507622,0.507622
block_cont_r1__block_cont_r8,block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.253575,1.0,U2,1,1,0.502289,0.502289
block_cont_r1__block_cont_r8,block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.253575,1.0,U3,1,1,0.25,0.25
block_cont_r1__block_cont_r8,block_cont_r1,block_cont_r8,block_or_occupancy,block_or_occupancy,block_cont,block_cont,0.253575,1.0,U4,1,1,0.125,0.125
