state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,group_i,group_j,same_coarse,same_fine,same_param_group,ego_speed_diff,d0_mean,d0_max
block_cont_r1,cross_clear_r7,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v6|L5,cross_clear|v7|d7,0,0,0,1.0,0.905937,1.0
block_cont_r1,cross_clear_r8,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v6|L5,cross_clear|v7|d8,0,0,0,1.0,0.794062,1.0
block_cont_r1,cross_clear_r9,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v6|L5,cross_clear|v8|d5,0,0,0,2.0,0.6631,1.0
block_cont_r1,cross_stall_occ_r1,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v6|d6,0,0,0,0.0,0.071275,0.1714
block_cont_r1,cross_stall_occ_r10,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v7|d7,0,0,0,1.0,0.3277,1.0
block_cont_r1,cross_stall_occ_r11,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v8|d7,0,0,0,2.0,0.032775,0.0669
block_cont_r1,cross_stall_occ_r12,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v8|d8,0,0,0,2.0,0.060712,0.1269
block_cont_r1,cross_stall_occ_r2,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v6|d7,0,0,0,0.0,0.102788,0.2461
block_cont_r1,cross_stall_occ_r3,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v7|d7,0,0,0,1.0,0.305375,1.0
block_cont_r1,cross_stall_occ_r4,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v7|d7,0,0,0,1.0,0.3477,1.0
block_cont_r1,cross_stall_occ_r5,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v8|d7,0,0,0,2.0,0.060862,0.1276
block_cont_r1,cross_stall_occ_r6,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v8|d8,0,0,0,2.0,0.060938,0.1276
block_cont_r1,cross_stall_occ_r7,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v6|d6,0,0,0,0.0,0.063075,0.151
block_cont_r1,cross_stall_occ_r8,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v6|d7,0,0,0,0.0,0.094925,0.228
block_cont_r1,cross_stall_occ_r9,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v6|L5,cross_stall_occ|v7|d7,0,0,0,1.0,0.297988,1.0
block_cont_r1,cross_stall_r1,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v6|d6,0,0,0,0.0,0.9131,1.0
block_cont_r1,cross_stall_r10,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v7|d7,0,0,0,1.0,0.9131,1.0
block_cont_r1,cross_stall_r11,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v8|d7,0,0,0,2.0,0.909837,1.0
block_cont_r1,cross_stall_r12,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v8|d8,0,0,0,2.0,0.9131,1.0
block_cont_r1,cross_stall_r2,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v6|d6,0,0,0,0.0,0.9131,1.0
block_cont_r1,cross_stall_r3,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v7|d6,0,0,0,1.0,0.908175,1.0
block_cont_r1,cross_stall_r4,block_or_occupancy,cross,block_cont,cross_stall,block_cont|v6|L5,cross_stall|v7|d7,0,0,0,1.0,0.9131,1.0
