0.00000,0.07064,0.03669,0.03868,0.02554,0.05097,0.07374,0.04031,0.02815,0.03834,0.04298,0.05764,0.31679,0.34373,0.28343,0.35583,0.34272,0.31596,0.33570,0.28578,0.32708,0.34301,0.29056,0.32657,0.35259,0.12621,0.37195,0.22924,0.31236,0.39784,0.35528,0.31600,0.22398,0.37143,0.30533,0.29153,0.36598,0.36135,0.33524,0.35464,0.37603,0.35186,0.36505,0.32556,0.35858,0.36169,0.37236,0.34976,0.05400,0.10124,0.03834,0.06750,0.06780,0.08973,0.12047,0.05709,0.06857,0.05797,0.06437,0.07384,0.06674,0.11676,0.11807,0.10108,0.09080,0.11991,0.14226,0.09930,0.11656,0.10125,0.11622,0.11068,0.38389,0.39207,0.38829,0.40575,0.40796,0.39013,0.40340,0.38824,0.40928,0.40593,0.39148,0.39683,0.39706,0.38377,0.42345,0.41142,0.41355,0.38658,0.41129,0.38179,0.39385,0.38380,0.37220,0.38189,0.43210,0.44006,0.43111,0.37360,0.42734,0.40721,0.41931,0.39799,0.39741,0.39765,0.36124,0.36239
0.07064,0.00000,0.10573,0.05616,0.04676,0.04167,0.02997,0.08027,0.05612,0.04488,0.05515,0.05786,0.31357,0.30774,0.30387,0.31984,0.31044,0.31272,0.31348,0.30622,0.31583,0.31033,0.30882,0.31625,0.31492,0.13232,0.32050,0.18204,0.28232,0.36184,0.31928,0.27836,0.16628,0.33544,0.26934,0.25443,0.32999,0.32535,0.31317,0.31864,0.34003,0.31586,0.32905,0.29462,0.32258,0.32569,0.33636,0.31376,0.07148,0.03554,0.04488,0.06544,0.08529,0.02404,0.05980,0.05338,0.06478,0.07131,0.08186,0.03178,0.08422,0.09522,0.05238,0.10430,0.10829,0.05421,0.07783,0.09769,0.11874,0.10448,0.09468,0.08499,0.34789,0.35608,0.35229,0.36976,0.37196,0.35413,0.36740,0.35225,0.37329,0.36993,0.35548,0.36083,0.36106,0.34777,0.38745,0.37542,0.37756,0.35059,0.37529,0.34579,0.35786,0.34781,0.33621,0.34589,0.39610,0.40407,0.39512,0.34279,0.39134,0.37122,0.38331,0.36199,0.36142,0.36405,0.32751,0.32639
0.03669,0.10573,0.00000,0.07514,0.06200,0.07490,0.09044,0.02547,0.06045,0.07358,0.06141,0.06330,0.32780,0.35474,0.24819,0.36684,0.35374,0.31567,0.34671,0.27167,0.33514,0.35402,0.28480,0.32968,0.36337,0.12283,0.38170,0.24007,0.32337,0.40885,0.36629,0.32444,0.23375,0.38244,0.31634,0.30228,0.37699,0.37236,0.34588,0.36565,0.38704,0.36287,0.37606,0.33657,0.36959,0.37270,0.38337,0.36077,0.09046,0.13648,0.07358,0.09157,0.10426,0.12497,0.14807,0.08483,0.09446,0.09044,0.10083,0.10908,0.10320,0.14754,0.15331,0.13632,0.12726,0.15515,0.17591,0.13141,0.15131,0.13649,0.14699,0.14593,0.39490,0.40308,0.39930,0.41676,0.41897,0.40114,0.41441,0.39925,0.42029,0.41694,0.40249,0.40784,0.40807,0.39478,0.43446,0.42243,0.42456,0.39759,0.42230,0.39280,0.40486,0.39481,0.38321,0.39290,0.44311,0.45107,0.44212,0.38434,0.43835,0.41822,0.43032,0.40900,0.40842,0.40780,0.37225,0.37340
0.03868,0.05616,0.07514,0.00000,0.01314,0.06926,0.08396,0.05861,0.03842,0.02529,0.05914,0.08632,0.35547,0.34962,0.32211,0.33753,0.35063,0.35463,0.35538,0.32446,0.35773,0.35034,0.32706,0.35815,0.32701,0.15010,0.35731,0.20546,0.29406,0.37954,0.33698,0.31612,0.21509,0.35313,0.28703,0.27324,0.34768,0.34305,0.35508,0.34251,0.35773,0.33780,0.34675,0.33552,0.34294,0.34339,0.35406,0.34360,0.01532,0.06256,0.02529,0.04754,0.02913,0.05121,0.09096,0.04603,0.04340,0.01929,0.02569,0.03760,0.02806,0.08438,0.07939,0.06240,0.05212,0.08123,0.10639,0.06691,0.08292,0.06257,0.08383,0.07200,0.36559,0.37377,0.36999,0.38745,0.38966,0.37183,0.38510,0.36994,0.39099,0.38763,0.37318,0.37853,0.37876,0.36547,0.40515,0.39312,0.39525,0.36828,0.39299,0.36353,0.37555,0.36716,0.35791,0.36359,0.41380,0.42176,0.41281,0.37018,0.40904,0.38891,0.40240,0.37969,0.37911,0.38416,0.35891,0.34576
0.02554,0.04676,0.06200,0.01314,0.00000,0.05612,0.07083,0.04547,0.02528,0.01762,0.04601,0.07318,0.34233,0.34024,0.30897,0.35067,0.33756,0.34149,0.34225,0.31132,0.34459,0.34267,0.31393,0.34501,0.33980,0.13906,0.36672,0.21287,0.30720,0.39267,0.35011,0.32035,0.21084,0.36627,0.30017,0.28637,0.36082,0.35618,0.34297,0.34947,0.37087,0.34670,0.35988,0.32659,0.35342,0.35653,0.36720,0.34459,0.02846,0.07570,0.01762,0.05471,0.04226,0.06419,0.10410,0.04395,0.05388,0.03243,0.03883,0.04830,0.04120,0.09751,0.09253,0.07554,0.06526,0.09437,0.11953,0.08005,0.09606,0.07571,0.09697,0.08514,0.37872,0.38691,0.38312,0.40059,0.40279,0.38497,0.39823,0.38308,0.40412,0.40076,0.38632,0.39167,0.39190,0.37860,0.41828,0.40626,0.40839,0.38142,0.40612,0.37662,0.38869,0.37864,0.36707,0.37673,0.42693,0.43490,0.42595,0.37380,0.42218,0.40205,0.41419,0.39283,0.39225,0.39465,0.35948,0.35722
0.05097,0.04167,0.07490,0.06926,0.05612,0.00000,0.05772,0.04944,0.03084,0.04397,0.01681,0.06508,0.32248,0.34940,0.27780,0.36151,0.34840,0.31033,0.34137,0.28015,0.32981,0.34868,0.28613,0.32555,0.35063,0.11671,0.36041,0.22371,0.31803,0.40351,0.36095,0.31018,0.20795,0.37711,0.31100,0.29610,0.37165,0.36702,0.34054,0.36031,0.38170,0.35753,0.37072,0.33123,0.36425,0.36736,0.37803,0.35543,0.08458,0.06158,0.04397,0.09866,0.09838,0.05008,0.09883,0.08635,0.09574,0.08855,0.09495,0.03419,0.09732,0.11140,0.07842,0.10671,0.12138,0.08026,0.10859,0.11562,0.12822,0.10688,0.11085,0.09463,0.38956,0.39775,0.39396,0.41143,0.41363,0.39580,0.40907,0.39391,0.41496,0.41160,0.39715,0.40250,0.40273,0.38944,0.42912,0.41709,0.41923,0.39226,0.41696,0.38746,0.39953,0.38948,0.37787,0.38756,0.43777,0.44574,0.43679,0.37900,0.43301,0.41288,0.42498,0.40366,0.40309,0.40246,0.36691,0.36806
0.07374,0.02997,0.09044,0.08396,0.07083,0.05772,0.00000,0.07651,0.07217,0.07149,0.07120,0.03322,0.28368,0.29169,0.27398,0.30379,0.29068,0.28284,0.28365,0.27633,0.28594,0.29100,0.27894,0.28636,0.29887,0.10661,0.30565,0.16845,0.26627,0.34579,0.30323,0.25762,0.15023,0.31939,0.25329,0.23961,0.31394,0.30930,0.28564,0.30259,0.32398,0.29981,0.31300,0.27355,0.30654,0.30965,0.32032,0.29771,0.09928,0.06543,0.07149,0.06080,0.11309,0.05392,0.06606,0.05402,0.06599,0.09374,0.10965,0.06167,0.11202,0.11019,0.08226,0.13419,0.13609,0.08410,0.10178,0.11461,0.14099,0.13436,0.10964,0.11487,0.33184,0.34003,0.33624,0.35371,0.35591,0.33808,0.35135,0.33620,0.35724,0.35388,0.33944,0.34478,0.34501,0.33172,0.37140,0.35937,0.36151,0.33454,0.35924,0.32974,0.34181,0.33176,0.32016,0.32984,0.38005,0.38802,0.37907,0.32261,0.37529,0.35517,0.36726,0.34594,0.34537,0.34675,0.30923,0.31034
0.04031,0.08027,0.02547,0.05861,0.04547,0.04944,0.07651,0.00000,0.03499,0.04812,0.03595,0.05586,0.33214,0.35907,0.27365,0.37118,0.35807,0.32000,0.35104,0.27600,0.33948,0.35835,0.28913,0.33401,0.36030,0.11944,0.37428,0.23338,0.32770,0.41318,0.37062,0.31985,0.21985,0.38678,0.32068,0.30585,0.38133,0.37669,0.35021,0.36998,0.39137,0.36720,0.38039,0.34090,0.37392,0.37703,0.38770,0.36510,0.07393,0.11102,0.04812,0.07956,0.08773,0.09951,0.13243,0.07091,0.08054,0.07391,0.08430,0.08362,0.08667,0.12889,0.12785,0.11086,0.11073,0.12969,0.15353,0.11276,0.13132,0.11103,0.12834,0.12047,0.39923,0.40742,0.40363,0.42110,0.42330,0.40547,0.41874,0.40359,0.42463,0.42127,0.40682,0.41217,0.41240,0.39911,0.43879,0.42676,0.42890,0.40193,0.42663,0.39713,0.40920,0.39915,0.38755,0.39723,0.44744,0.45541,0.44646,0.38867,0.44268,0.42256,0.43465,0.41333,0.41276,0.41213,0.37658,0.37773
0.02815,0.05612,0.06045,0.03842,0.02528,0.03084,0.07217,0.03499,0.00000,0.01313,0.02072,0.06100,0.34495,0.36385,0.30863,0.37595,0.36285,0.34115,0.35582,0.31098,0.34426,0.36313,0.31359,0.34503,0.36508,0.13957,0.37486,0.23816,0.33248,0.41796,0.37540,0.32468,0.22240,0.39156,0.32545,0.31055,0.38610,0.38147,0.35499,0.37476,0.39615,0.37198,0.38517,0.34568,0.37870,0.38181,0.39248,0.36988,0.05374,0.07603,0.01313,0.06782,0.06755,0.06453,0.11328,0.05552,0.06490,0.05771,0.06411,0.04864,0.06648,0.10225,0.09287,0.07587,0.09055,0.09470,0.12304,0.08479,0.09738,0.07605,0.10171,0.08548,0.40401,0.41220,0.40841,0.42587,0.42808,0.41025,0.42352,0.40836,0.42941,0.42605,0.41160,0.41695,0.41718,0.40389,0.44357,0.43154,0.43368,0.40670,0.43141,0.40191,0.41398,0.40392,0.39232,0.40201,0.45222,0.46019,0.45124,0.39345,0.44746,0.42733,0.43943,0.41811,0.41754,0.41800,0.38136,0.38251
0.03834,0.04488,0.07358,0.02529,0.01762,0.04397,0.07149,0.04812,0.01313,0.00000,0.03385,0.07380,0.35513,0.35260,0.32177,0.36282,0.35516,0.35428,0.35510,0.32412,0.35739,0.35000,0.32672,0.35781,0.35195,0.14993,0.36197,0.22502,0.31935,0.40483,0.36227,0.31883,0.20999,0.37842,0.31232,0.29742,0.37297,0.36834,0.35473,0.36162,0.38302,0.35885,0.37204,0.33518,0.36557,0.36868,0.37935,0.35675,0.04061,0.06290,0.00000,0.05469,0.05441,0.05140,0.10015,0.04238,0.05177,0.04458,0.05098,0.03550,0.05335,0.08912,0.07973,0.06274,0.07741,0.08157,0.10991,0.07166,0.08425,0.06292,0.08857,0.07235,0.39088,0.39906,0.39527,0.41274,0.41495,0.39712,0.41039,0.39523,0.41627,0.41292,0.39847,0.40382,0.40405,0.39075,0.43044,0.41841,0.42054,0.39357,0.41828,0.38878,0.40084,0.39079,0.37919,0.38888,0.43909,0.44705,0.43810,0.38458,0.43433,0.41420,0.42630,0.40498,0.40440,0.40680,0.36823,0.36938
