quantile,d0_lo,d0_hi,n,D1_median,D1_q25,D1_q75,D1_mean,feas_agree_mean
Q1,0.0,0.03203,389,0.01576,0.01175,0.02159,0.01842,1.0
Q2,0.03203,0.05987,583,0.03139,0.02565,0.0446,0.03722,1.0
Q3,0.05987,0.15535,972,0.06233,0.04532,0.09371,0.0727,1.0
Q4,0.15535,0.35302,972,0.2568,0.19887,0.27707,0.23366,1.0
Q5,0.35302,0.44705,972,0.2947,0.28308,0.30811,0.29451,1.0
