scene,group,v0,s0,quadrant,expected,pass,G0,GL,n_branches,P0_2,P0_4,P0_6,P0_8,P0_10,PL_2,PL_4,PL_6,PL_8,PL_10,Pfree_2,Pfree_4,Pfree_6,Pfree_8,Pfree_10
C2,1,6.0,17.77,LateralOptional,both>0,True,2.5,12.375,40,15.0,33.0,38.06,43.0,48.0,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
C2,10,8.0,29.09,LateralOptional,both>0,True,2.5,12.375,40,19.0,36.75,42.75,47.75,52.75,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
C2,2,7.0,22.95,LateralOptional,both>0,True,3.25,12.375,40,17.0,33.81,39.88,44.81,51.31,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
C2,3,8.0,28.89,LateralOptional,both>0,True,4.188,12.375,40,19.0,41.94,48.81,54.5,62.88,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
C2,4,9.0,35.49,LateralOptional,both>0,True,4.0,12.375,40,21.0,39.38,49.0,57.31,65.31,-1.0,45.75,70.5,95.25,120.0,21.0,45.75,70.5,95.25,120.0
C2,5,6.0,17.75,LateralOptional,both>0,True,4.438,12.375,40,15.0,36.0,46.0,51.19,60.06,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
C2,6,7.0,22.99,LateralOptional,both>0,True,2.5,12.375,40,17.0,33.81,38.88,43.81,48.81,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
C2,7,8.0,28.84,LateralOptional,both>0,True,3.125,12.375,40,19.0,38.5,45.81,51.75,58.0,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
C2,8,9.0,35.57,LateralOptional,both>0,True,4.188,12.375,40,21.0,37.25,46.19,51.88,60.25,-1.0,45.75,70.5,95.25,120.0,21.0,45.75,70.5,95.25,120.0
C2,9,7.0,22.93,LateralOptional,both>0,True,4.094,12.375,40,17.0,39.88,49.81,57.69,65.88,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
D1,1,6.0,17.78,Contingency/Wait,both~0,True,0.0,,40,15.0,17.06,17.06,17.06,17.06,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,36.0,60.75,85.5,110.25
D1,10,8.0,28.88,Contingency/Wait,both~0,True,0.0,,40,19.0,28.0,28.0,28.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,43.12,67.88,92.62,117.38
D1,2,7.0,23.01,Contingency/Wait,both~0,True,0.0,,40,17.0,17.88,17.88,17.88,17.88,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,39.88,64.62,89.38,114.12
D1,3,8.0,29.02,Contingency/Wait,both~0,True,0.0,,40,19.0,27.81,27.81,27.81,27.81,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,43.12,67.88,92.62,117.38
D1,4,9.0,35.7,Contingency/Wait,both~0,True,0.0,,40,21.0,25.19,25.19,25.19,25.19,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,45.75,70.5,95.25,120.0
