file,ok,max_abs_error,mean_abs_error,note
f000189.npz,1,0.000006,0.000003,
f001545.npz,1,0.000121,0.000046,
f002901.npz,1,0.000076,0.000027,
f004257.npz,1,0.000197,0.000090,
f005613.npz,1,0.000175,0.000078,
f006969.npz,1,0.001156,0.000327,
f008325.npz,1,0.000021,0.000007,
f009681.npz,1,0.001349,0.000648,
f011037.npz,1,0.000043,0.000013,
f012393.npz,1,0.000064,0.000015,
f013749.npz,1,0.000242,0.000048,
f015105.npz,1,0.000040,0.000010,
f016457.npz,1,0.000695,0.000148,
