state_A,state_B,group_A,group_B,uid_A,uid_B,cos_dir,mag_sim,same_route,delta_ego_speed,curv_A,curv_B,dom_dist_A,dom_dist_B,dom_type_A,dom_type_B
V000021,V000047,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_4,route14|HardBreakRoute_1,0.922,0.9851,0,0.35,,,11.14,9.76,1,1
V000016,V000082,B_ParkingCutIn,C_VehicleTurning,route10|ParkingCutIn_3,route14|VehicleTurningRoute_3,0.921,0.9007,0,3.63,,,5.77,2.09,1,1
V000052,V000105,A_HardBreak,B_ParkingCutIn,route14|HardBreakRoute_2,route3|ParkingCutIn_4,0.9196,0.9667,0,3.87,,,12.26,5.49,1,1
V000076,V000098,C_VehicleTurning,A_HardBreak,route14|VehicleTurningRoute_2,route3|HardBreakRoute_7,0.9176,0.7262,0,0.49,,,9.73,8.92,1,1
V000061,V000074,D_PedestrianCrossing,C_VehicleTurning,route14|PedestrianCrossing_2,route14|VehicleTurningRoute_1,0.9163,0.6565,1,0.9,,,9.72,5.76,2,1
V000011,V000082,B_ParkingCutIn,C_VehicleTurning,route10|ParkingCutIn_1,route14|VehicleTurningRoute_3,0.9153,0.998,0,6.44,,,3.75,2.09,1,1
V000035,V000074,D_PedestrianCrossing,C_VehicleTurning,route10|PedestrianCrossing_5,route14|VehicleTurningRoute_1,0.9151,0.5675,0,0.68,,,9.67,5.76,2,1
V000045,V000061,A_HardBreak,D_PedestrianCrossing,route14|HardBreakRoute_1,route14|PedestrianCrossing_2,0.915,0.6148,1,0.9,,,5.49,9.72,1,2
V000035,V000046,D_PedestrianCrossing,A_HardBreak,route10|PedestrianCrossing_5,route14|HardBreakRoute_1,0.9143,0.7282,0,0.52,,,9.67,12.22,2,1
V000018,V000048,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_3,route14|HardBreakRoute_1,0.9137,0.9906,0,1.82,,,9.87,7.8,1,1
V000024,V000091,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route3|HardBreakRoute_1,0.9137,0.992,0,2.81,,,12.94,8.34,1,1
V000013,V000026,B_ParkingCutIn,D_PedestrianCrossing,route10|ParkingCutIn_2,route10|PedestrianCrossing_3,0.9108,0.8567,1,1.39,,,9.94,10.34,1,2
V000011,V000040,B_ParkingCutIn,C_VehicleTurning,route10|ParkingCutIn_1,route10|VehicleTurningRoute_1,0.9098,0.9872,1,6.09,,,3.75,6.47,1,1
V000018,V000091,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_3,route3|HardBreakRoute_1,0.9086,0.9835,0,1.75,,,9.87,8.34,1,1
V000018,V000031,B_ParkingCutIn,D_PedestrianCrossing,route10|ParkingCutIn_3,route10|PedestrianCrossing_4,0.9079,0.9298,1,0.43,,,9.87,9.75,1,2
V000031,V000074,D_PedestrianCrossing,C_VehicleTurning,route10|PedestrianCrossing_4,route14|VehicleTurningRoute_1,0.9075,0.8323,0,1.21,,,9.75,5.76,2,1
V000024,V000048,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_5,route14|HardBreakRoute_1,0.907,0.9935,0,2.74,,,12.94,7.8,1,1
V000046,V000105,A_HardBreak,B_ParkingCutIn,route14|HardBreakRoute_1,route3|ParkingCutIn_4,0.9064,0.9755,0,4.6,,,12.22,5.49,1,1
V000014,V000046,B_ParkingCutIn,A_HardBreak,route10|ParkingCutIn_2,route14|HardBreakRoute_1,0.9024,0.979,0,2.59,,,10.71,12.22,1,1
