route,config_name,scenario_group,frame,scenario_progress,num_dynamic_actors,dominant_actor_id,dominant_token_idx,D1,D2,D1_D2_ratio,pass_D1,pass_ratio,single_dominant,snapshot_path
route3,HardBreakRoute_10,HardBreakRoute,309,-1,28,3719,4,6.50493,4.34689,1.496,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000309.npz
route3,HardBreakRoute_10,HardBreakRoute,313,-1,28,3719,4,6.51488,2.81032,2.318,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000313.npz
route3,HardBreakRoute_10,HardBreakRoute,317,-1,30,3719,4,6.00678,1.48561,4.043,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000317.npz
route3,HardBreakRoute_10,HardBreakRoute,321,-1,30,3719,4,5.16291,0.46014,11.22,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000321.npz
route3,HardBreakRoute_10,HardBreakRoute,325,-1,30,3719,4,4.17233,1.27448,3.274,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000325.npz
route3,HardBreakRoute_10,HardBreakRoute,329,-1,30,3719,4,1.98363,1.29989,1.526,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000329.npz
route3,HardBreakRoute_10,HardBreakRoute,333,-1,30,3719,4,1.58238,0.99405,1.592,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000333.npz
route3,HardBreakRoute_10,HardBreakRoute,337,-1,31,3719,4,2.31551,1.19453,1.938,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000337.npz
route3,HardBreakRoute_10,HardBreakRoute,341,-1,32,3719,5,3.0684,1.00927,3.04,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000341.npz
route3,HardBreakRoute_10,HardBreakRoute,345,-1,33,3719,5,3.16907,0.86783,3.652,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000345.npz
route3,HardBreakRoute_10,HardBreakRoute,349,-1,32,3719,5,3.17955,0.44234,7.188,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000349.npz
route3,HardBreakRoute_10,HardBreakRoute,353,-1,32,3719,5,3.29772,0.38142,8.646,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000353.npz
route3,HardBreakRoute_10,HardBreakRoute,357,-1,32,3719,5,3.23609,0.43683,7.408,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000357.npz
route3,HardBreakRoute_10,HardBreakRoute,361,-1,34,3719,6,3.5386,0.36349,9.735,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000361.npz
route3,HardBreakRoute_10,HardBreakRoute,365,-1,34,3719,6,4.06899,0.87999,4.624,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000365.npz
route3,HardBreakRoute_10,HardBreakRoute,369,-1,33,3719,7,4.4672,0.75186,5.942,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000369.npz
route3,HardBreakRoute_10,HardBreakRoute,373,-1,31,3719,7,4.31022,1.21189,3.557,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000373.npz
route3,HardBreakRoute_10,HardBreakRoute,377,-1,32,3719,7,3.90522,1.47074,2.655,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000377.npz
route3,HardBreakRoute_10,HardBreakRoute,381,-1,32,3719,7,3.61113,0.89771,4.023,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000381.npz
route3,HardBreakRoute_10,HardBreakRoute,385,-1,32,3719,7,3.5346,0.751,4.707,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000385.npz
route3,HardBreakRoute_10,HardBreakRoute,389,-1,32,3719,7,3.58441,0.99733,3.594,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000389.npz
route3,HardBreakRoute_10,HardBreakRoute,393,-1,30,3719,7,4.32825,1.79728,2.408,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000393.npz
route3,HardBreakRoute_10,HardBreakRoute,397,-1,30,3719,7,4.83453,2.03105,2.38,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000397.npz
route3,HardBreakRoute_10,HardBreakRoute,401,-1,30,3719,7,4.56444,2.46326,1.853,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000401.npz
route3,HardBreakRoute_10,HardBreakRoute,405,-1,30,3719,7,5.13641,0.73521,6.986,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000405.npz
route3,HardBreakRoute_10,HardBreakRoute,409,-1,31,3719,7,5.55216,0.86733,6.401,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000409.npz
route3,HardBreakRoute_10,HardBreakRoute,413,-1,31,3719,7,5.6584,0.59825,9.458,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000413.npz
route3,HardBreakRoute_10,HardBreakRoute,417,-1,31,3719,7,5.08869,0.6571,7.744,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000417.npz
route3,HardBreakRoute_10,HardBreakRoute,421,-1,31,3719,7,4.80688,0.77471,6.205,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000421.npz
route3,HardBreakRoute_10,HardBreakRoute,425,-1,31,3719,7,4.76087,0.66778,7.129,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000425.npz
route3,HardBreakRoute_10,HardBreakRoute,429,-1,31,3719,7,5.00373,0.61345,8.157,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000429.npz
route3,HardBreakRoute_10,HardBreakRoute,433,-1,30,3719,6,5.11899,0.68587,7.464,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000433.npz
route3,HardBreakRoute_10,HardBreakRoute,437,-1,30,3719,6,5.11246,0.62972,8.119,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000437.npz
route3,HardBreakRoute_10,HardBreakRoute,441,-1,30,3719,6,5.5767,0.4786,11.652,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000441.npz
route3,HardBreakRoute_10,HardBreakRoute,445,-1,30,3719,6,5.42685,0.56327,9.635,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000445.npz
route3,HardBreakRoute_10,HardBreakRoute,449,-1,29,3719,6,5.17776,0.64307,8.052,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000449.npz
route3,HardBreakRoute_10,HardBreakRoute,453,-1,30,3719,6,5.05523,0.64075,7.89,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000453.npz
route3,HardBreakRoute_10,HardBreakRoute,457,-1,30,3719,6,5.03761,0.60985,8.26,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000457.npz
route3,HardBreakRoute_10,HardBreakRoute,461,-1,30,3719,6,4.87126,0.63792,7.636,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000461.npz
route3,HardBreakRoute_10,HardBreakRoute,465,-1,30,3719,6,4.42345,0.76109,5.812,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000465.npz
route3,HardBreakRoute_10,HardBreakRoute,469,-1,30,3719,6,4.79158,0.63807,7.51,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000469.npz
