route,config_name,scenario_group,frame,scenario_progress,num_dynamic_actors,dominant_actor_id,dominant_token_idx,D1,D2,D1_D2_ratio,pass_D1,pass_ratio,single_dominant,snapshot_path
route10,ParkingCutIn_3,ParkingCutIn,21392,-1,37,4017,1,1.41421,0.81323,1.739,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021392.npz
route10,ParkingCutIn_3,ParkingCutIn,21396,-1,37,4968,16,3.25163,2.30995,1.408,1,0,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021396.npz
route10,ParkingCutIn_3,ParkingCutIn,21400,-1,38,4017,1,4.363,1.67944,2.598,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021400.npz
route10,ParkingCutIn_3,ParkingCutIn,21404,-1,37,4017,1,2.06171,0.40544,5.085,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021404.npz
route10,ParkingCutIn_3,ParkingCutIn,21408,-1,37,4017,1,3.07151,0.40222,7.636,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021408.npz
route10,ParkingCutIn_3,ParkingCutIn,21412,-1,37,4017,1,1.97555,0.10569,18.692,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021412.npz
route10,ParkingCutIn_3,ParkingCutIn,21416,-1,36,4017,1,1.34241,0.21664,6.197,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021416.npz
route10,ParkingCutIn_3,ParkingCutIn,21420,-1,36,4017,1,0.68623,0.28108,2.441,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021420.npz
route10,ParkingCutIn_3,ParkingCutIn,21424,-1,36,4017,1,0.80063,0.34756,2.304,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f021424.npz
route10,ParkingCutIn_4,ParkingCutIn,23184,-1,46,5015,10,2.00177,0.85031,2.354,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f023184.npz
route10,PedestrianCrossing_4,PedestrianCrossing,24924,-1,10,5083,4,0.10506,0.04448,2.101,0,1,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f024924.npz
route10,ParkingCutIn_5,ParkingCutIn,33860,-1,30,5618,8,0.10799,0.06364,1.697,0,1,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f033860.npz
route10,PedestrianCrossing_5,PedestrianCrossing,33700,-1,27,5605,5,0.08437,0.04687,1.687,0,1,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f033700.npz
route10,HardBreakRoute_5,HardBreakRoute,208,-1,16,3719,3,0.99652,0.0299,19.93,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f000208.npz
route10,PedestrianCrossing_1,PedestrianCrossing,2828,-1,21,3930,4,0.10682,0.03269,2.136,0,1,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f002828.npz
route10,HardBreakRoute_4,HardBreakRoute,208,-1,16,3719,3,0.99652,0.0299,19.93,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f000208.npz
route10,HardBreakRoute_2,HardBreakRoute,1436,-1,28,3720,10,4.59076,0.4651,9.871,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f001436.npz
route10,VehicleTurningRoute_1,VehicleTurningRoute,14124,-1,31,4087,1,1.62611,1.43088,1.136,1,0,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f014124.npz
route10,ParkingCutIn_2,ParkingCutIn,13688,-1,33,4279,22,0.07345,0.06028,1.219,0,0,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f013688.npz
route10,HardBreakRoute_1,HardBreakRoute,1980,-1,37,4099,5,2.22583,0.57464,3.873,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f001980.npz
route10,ParkingCutIn_1,ParkingCutIn,4732,-1,41,4512,12,0.20375,0.04554,4.075,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f004732.npz
route10,PedestrianCrossing_2,PedestrianCrossing,12792,-1,15,4683,4,0.04617,0.04477,0.923,0,0,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f012792.npz
route10,PedestrianCrossing_3,PedestrianCrossing,17576,-1,4,4875,1,0.37663,0.13513,2.787,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f017576.npz
route10,HardBreakRoute_3,HardBreakRoute,12696,-1,7,4663,7,0.71462,0.5195,1.376,1,0,0,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f012696.npz
route10,VehicleTurningRoute_2,VehicleTurningRoute,18332,-1,8,4894,6,0.26868,0.13057,2.058,1,1,1,outputs/gate6/snapshots/exact_town12_route10_route0_09_04_14_40_59/f018332.npz
