file,ok,max_abs_error,mean_abs_error,note
f000178.npz,1,0.000005,0.000002,
f002726.npz,1,0.000374,0.000134,
f005274.npz,1,0.000080,0.000038,
f007822.npz,1,0.000158,0.000110,
f010370.npz,1,0.000436,0.000159,
f012918.npz,1,0.000055,0.000021,
f015466.npz,1,0.000149,0.000044,
f018014.npz,1,0.000164,0.000070,
f020562.npz,1,0.000139,0.000053,
f023110.npz,1,0.000244,0.000060,
f025658.npz,1,0.000086,0.000023,
f028206.npz,1,0.000061,0.000021,
f030754.npz,1,0.000109,0.000028,
f033302.npz,1,0.000044,0.000012,
f035898.npz,1,0.000029,0.000012,
